Designator,Mid X,Mid Y,Rotation,Layer
C1,120.0,-67.0,180.0,top
C2,112.0,-67.0,0.0,top
C4,108.5,-64.5,270.0,top
C5,126.479474,-65.957998,0.0,top
C6,127.253208,-72.160628,270.0,top
C7,104.775,-61.5,0.0,top
J1,103.0,-68.5,270.0,top
J2,113.5,-61.0,0.0,top
J3,123.349758,-61.0,0.0,top
L2,116.0,-72.0,270.0,top
L3,127.223729,-69.163636,90.0,top
R1,108.5,-68.0,270.0,top
R2,108.5,-71.0,270.0,top
R3,115.175,-67.0,180.0,top
U3,124.0,-69.0,270.0,top
